topic,winner_group,consistency_score,avg_alignment_score,avg_validity,n_questions
FIN_SIT,Liberal,1.0,0.7974,0.0,3
FIN_SITFUT,Liberal,1.0,0.7733,1.0,3
FIN_SITMOST,Liberal,1.0,0.5802,0.0,3
FIN_SITCOMM,Liberal,1.0,0.759,0.0,3
FIN_SITGROWUP,Liberal,1.0,0.8078,0.0,3
JOBTRAIN,Liberal,1.0,0.8353,0.0,3
GOVPRIORITY,Liberal,1.0,0.8745,0.0,18
GOVRESP,Liberal,1.0,0.5983,0.0,24
ECON,Liberal,1.0,0.6792,0.0645,93
INEQ,Liberal,1.0,0.7539,0.0833,108
ECIMP,Liberal,1.0,0.728,0.0,30
WORRY,Liberal,1.0,0.5755,0.5833,36
FINANCE,Liberal,1.0,0.6837,1.0,9
DEBT,Liberal,1.0,0.4525,0.0,15
BENEFITS,Liberal,1.0,0.2018,0.0,9
WORKHARD,Liberal,1.0,0.6408,0.0,3
POOREASY,Liberal,1.0,0.5753,0.0,3
ECONFAIR,Liberal,1.0,0.7902,0.0,9
PAST,Liberal,1.0,0.937,0.0,3
FUTURE,Liberal,1.0,0.9461,0.0,3
SC,Liberal,1.0,0.7408,0.0417,72
CONF,Liberal,1.0,0.6672,0.0,24
POLICY,Liberal,1.0,0.7508,0.25,12
RQ,Liberal,1.0,0.6718,0.0222,135
P,Liberal,0.9825,0.6824,0.1053,171
Q,Liberal,1.0,0.6059,0.0,24
PO,Liberal,1.0,0.5695,0.0,12
SATLIFE,Liberal,1.0,0.8232,0.6667,27
SOCTRUST,Liberal,1.0,0.719,0.0,12
COMMYRS,Liberal,1.0,0.5154,1.0,3
COMATTACH,Liberal,1.0,0.7697,1.0,3
FEEL,Liberal,1.0,0.7509,0.75,12
INC,Liberal,1.0,0.6223,0.0,3
INCFUTURE,Liberal,1.0,0.4649,1.0,3
COMMIMP,Liberal,1.0,0.7539,0.0,24
FAMNEAR,Liberal,1.0,0.8778,0.0,3
SUCCESSIMP,Liberal,1.0,0.8832,0.75,12
FEDSHARE,Liberal,1.0,0.5934,0.0,9
LOCALPROB,Liberal,1.0,0.5716,0.0,33
LOCALPROBL_F,Liberal,1.0,0.7358,0.0,3
LOCALPROBM_F,Liberal,1.0,0.6002,0.0,3
JOBSFUTURE,Liberal,1.0,0.639,1.0,3
HARASS,Liberal,1.0,0.6779,0.0,57
GROWUPNEAR,Liberal,1.0,0.5714,1.0,3
LIFELOC,Liberal,1.0,0.5731,0.0,3
VALUEURBAN,Liberal,1.0,0.6831,0.0,3
VALUESUBURB,Liberal,1.0,0.7691,0.0,3
VALUERURAL,Liberal,1.0,0.7944,0.0,3
NEIGHKNOW,Liberal,1.0,0.6415,0.0,3
NEIGHINTER,Liberal,1.0,0.4579,1.0,12
NEIGHKEYS,Liberal,1.0,0.8335,0.0,3
NEIGHKIDS,Liberal,1.0,0.5724,0.0,3
NEIGHSAME,Liberal,1.0,0.7689,0.0,9
IMMCOMM,Liberal,1.0,0.7436,0.0,3
IMMIMPACT,Liberal,1.0,0.6602,0.0,3
GROWUPUSR,Liberal,1.0,0.6128,1.0,3
COMTYPE,Liberal,1.0,0.6136,1.0,3
CITYSIZE,Liberal,1.0,0.7672,0.0,3
SUBURBNEAR,Liberal,1.0,0.8149,0.0,3
PROBURBAN,Liberal,1.0,0.7172,0.0,3
PROBSUBURB,Liberal,1.0,0.7431,0.0,3
PROBRURAL,Liberal,1.0,0.706,0.0,3
WANTMOVE,Liberal,1.0,0.5949,0.0,3
WILLMOVE,Liberal,1.0,0.7018,0.0,3
MOVEURBAN,Liberal,1.0,0.6367,0.0,3
MOVESUBURB,Liberal,1.0,0.6437,0.0,3
MOVERURAL,Liberal,1.0,0.641,0.0,3
