topic,winner_group,consistency_score,avg_alignment_score,avg_validity,n_questions
FIN_SIT,Liberal,1.0,0.7974,0.0,1
FIN_SITFUT,Liberal,1.0,0.7733,1.0,1
FIN_SITMOST,Liberal,1.0,0.5802,0.0,1
FIN_SITCOMM,Liberal,1.0,0.759,0.0,1
FIN_SITGROWUP,Liberal,1.0,0.8078,0.0,1
JOBTRAIN,Liberal,1.0,0.8353,0.0,1
GOVPRIORITY,Liberal,1.0,0.8745,0.0,6
GOVRESP,Liberal,1.0,0.5983,0.0,8
ECON,Liberal,1.0,0.6792,0.0645,31
INEQ,Liberal,1.0,0.7539,0.0833,36
ECIMP,Liberal,1.0,0.728,0.0,10
WORRY,Liberal,1.0,0.5755,0.5833,12
FINANCE,Liberal,1.0,0.6837,1.0,3
DEBT,Liberal,1.0,0.4525,0.0,5
BENEFITS,Liberal,1.0,0.2018,0.0,3
WORKHARD,Liberal,1.0,0.6408,0.0,1
POOREASY,Liberal,1.0,0.5753,0.0,1
ECONFAIR,Liberal,1.0,0.7902,0.0,3
PAST,Liberal,1.0,0.937,0.0,1
FUTURE,Liberal,1.0,0.9461,0.0,1
SC,Liberal,1.0,0.7408,0.0417,24
CONF,Liberal,1.0,0.6672,0.0,8
POLICY,Liberal,1.0,0.7508,0.25,4
RQ,Liberal,1.0,0.6718,0.0222,45
P,Liberal,0.9825,0.6824,0.1053,57
Q,Liberal,1.0,0.6059,0.0,8
PO,Liberal,1.0,0.5695,0.0,4
SATLIFE,Liberal,1.0,0.8232,0.6667,9
SOCTRUST,Liberal,1.0,0.719,0.0,4
COMMYRS,Liberal,1.0,0.5154,1.0,1
COMATTACH,Liberal,1.0,0.7697,1.0,1
FEEL,Liberal,1.0,0.7509,0.75,4
INC,Liberal,1.0,0.6223,0.0,1
INCFUTURE,Liberal,1.0,0.4649,1.0,1
COMMIMP,Liberal,1.0,0.7539,0.0,8
FAMNEAR,Liberal,1.0,0.8778,0.0,1
SUCCESSIMP,Liberal,1.0,0.8832,0.75,4
FEDSHARE,Liberal,1.0,0.5934,0.0,3
LOCALPROB,Liberal,1.0,0.5716,0.0,11
LOCALPROBL_F,Liberal,1.0,0.7358,0.0,1
LOCALPROBM_F,Liberal,1.0,0.6002,0.0,1
JOBSFUTURE,Liberal,1.0,0.639,1.0,1
HARASS,Liberal,1.0,0.6779,0.0,19
GROWUPNEAR,Liberal,1.0,0.5714,1.0,1
LIFELOC,Liberal,1.0,0.5731,0.0,1
VALUEURBAN,Liberal,1.0,0.6831,0.0,1
VALUESUBURB,Liberal,1.0,0.7691,0.0,1
VALUERURAL,Liberal,1.0,0.7944,0.0,1
NEIGHKNOW,Liberal,1.0,0.6415,0.0,1
NEIGHINTER,Liberal,1.0,0.4579,1.0,4
