topic,winner_group,consistency_score,avg_alignment_score,avg_validity,n_questions,avg_jsd_threat_economic,avg_jsd_threat_it_system,avg_jsd_threat_legal,most_disruptive_threat
SAFECRIME,Democrat,1.0,0.8053,0.0,1,0.0004,0.0017,0.0004,IT_System
WORLDDANGER,Liberal,1.0,0.7958,0.0,1,0.0024,0.0017,0.0051,Legal
WORRY,Conservative,0.2857,0.7517,0.0,12,0.0014,0.0011,0.001,Economic
GUN,Conservative,0.5,0.9131,0.0,2,0.0006,0.0071,0.0,IT_System
EVEROWN,Conservative,1.0,0.7762,0.0,1,0.0005,0.0034,0.0003,IT_System
NEVEROWN,Democrat,1.0,0.7028,0.0,1,0.0002,0.0019,0.0003,IT_System
GUNTYPEOWNC,Democrat,1.0,0.9096,0.0,1,0.0001,0.002,0.0002,IT_System
EVERSHOT,Democrat,1.0,0.6804,0.0,1,0.0002,0.0007,0.0013,Legal
REASONGUN,Conservative,0.2,0.6902,0.2,5,0.002,0.0017,0.0041,Legal
IMPREASONGUN,Moderate,1.0,0.8096,0.0,1,0.0013,0.0004,0.0008,Economic
GUNIDENTITY,Conservative,1.0,0.9437,0.0,1,0.0009,0.001,0.0009,IT_System
GUNFRIEND,Conservative,1.0,0.8746,0.0,1,0.0018,0.001,0.0014,Economic
GUNSOCIETY,Republican,1.0,0.8743,0.0,1,0.0,0.0004,0.0,IT_System
GUNCOMMUNITY,Democrat,1.0,0.8964,0.0,1,0.0,0.0008,0.0,IT_System
SHOOTFREQ,Republican,1.0,0.7069,0.0,1,0.0008,0.0019,0.0013,IT_System
GUNSAFE,Conservative,0.5,0.8249,0.0,2,0.0,0.001,0.0,IT_System
GUNCOURSES,Independent,1.0,0.9368,0.0,1,0.0005,0.0049,0.0001,IT_System
GUNACCESS,Conservative,1.0,0.9008,0.0,1,0.0003,0.0013,0.0001,IT_System
GUNLOCKED,Conservative,0.5,0.9704,0.0,2,0.0002,0.0015,0.0008,IT_System
GUNLOADED,Republican,1.0,0.7624,0.0,2,0.0004,0.0014,0.0008,IT_System
GUNCONTRIB,Conservative,0.3333,0.8945,0.0,6,0.0007,0.0003,0.0002,Economic
GROWUPVIOL,Democrat,1.0,0.5885,0.0,1,0.0006,0.0002,0.0001,Economic
GROWUPGUN,Republican,0.5714,0.8497,0.1429,7,0.0006,0.0023,0.0007,IT_System
GUNRESPNOKIDS,Republican,0.5714,0.8226,0.1429,7,0.0018,0.0004,0.0021,Legal
GUNRESPKIDS,Conservative,0.375,0.7616,0.0,8,0.0021,0.0004,0.0023,Legal
GUNSAFETYKIDS,Democrat,1.0,0.7081,0.0,1,0.0011,0.0017,0.0013,IT_System
CARRYGUN,Republican,1.0,0.6935,0.0,1,0.0009,0.0016,0.0003,IT_System
NOCARRYGUN,Conservative,1.0,0.8186,0.0,1,0.0003,0.0037,0.0001,IT_System
GUNKILLF,Liberal,1.0,0.8132,0.5,2,0.0009,0.0002,0.0019,Legal
DEFENDGUN,Moderate,1.0,0.5865,1.0,1,0.0001,0.0003,0.0,IT_System
GUNTHREAT,Moderate,1.0,0.7942,0.0,1,0.0012,0.0032,0.0021,IT_System
CRIMEVICTIM,Independent,1.0,0.7124,0.0,1,0.0001,0.0001,0.0001,Economic
MARGUN,Independent,1.0,0.5871,0.0,1,0.0,0.001,0.0001,IT_System
GUNASSOCIATIONA,Republican,1.0,0.7335,0.0,1,0.0011,0.0045,0.0009,IT_System
GUNACTIVITY,Republican,0.6,0.5563,0.0,5,0.0036,0.0022,0.0031,Economic
CAREREL,Conservative,1.0,0.8659,0.0,1,0.0012,0.0009,0.002,Legal
INDUSTRY,Liberal,1.0,0.7601,0.0,1,0.0006,0.0016,0.0011,IT_System
PREDICT,Democrat,0.25,0.8292,0.5,4,0.0005,0.0006,0.0004,IT_System
CARS,Liberal,0.3529,0.8477,0.2353,17,0.0011,0.0007,0.0009,Economic
WORK,Independent,0.4615,0.8262,0.0769,13,0.0016,0.0005,0.0026,Legal
ROBJOB,Liberal,0.3478,0.8634,0.7826,23,0.0005,0.0005,0.0005,IT_System
CAREGIV,Moderate,0.25,0.8807,0.6667,12,0.001,0.001,0.0009,Economic
HIRING,Democrat,0.3636,0.8525,0.5455,11,0.0007,0.0014,0.0007,IT_System
VOICE,Independent,0.5714,0.8277,0.1429,7,0.0013,0.0017,0.0008,IT_System
DRONE,Independent,0.2857,0.8492,0.0,7,0.0013,0.0021,0.0013,IT_System
PERSDISCR,Democrat,1.0,0.923,0.0,1,0.0008,0.0035,0.0015,IT_System
NOWSMK_NHIS,Moderate,1.0,0.7167,0.0,1,0.0,0.0014,0.0007,IT_System
BLOODPR,Conservative,1.0,0.9577,0.0,1,0.0002,0.003,0.0001,IT_System
DIFF,Liberal,0.8,0.7925,0.0,5,0.0,0.005,0.0003,IT_System
MASC,Democrat,0.5,0.7933,0.0,4,0.0019,0.0046,0.0026,IT_System
FEM,Democrat,0.25,0.729,0.0,4,0.0016,0.0043,0.0024,IT_System
GOODJOBS,Republican,1.0,0.9143,0.0,1,0.0004,0.0011,0.0008,IT_System
