id_question,trial_id,n_options,position,position_label,prob,is_first,is_last
SAFECRIME_W26,baseline,4,0,A,0.4333,True,False
SAFECRIME_W26,baseline,4,1,B,0.1241,False,False
SAFECRIME_W26,baseline,4,2,C,0.1606,False,False
SAFECRIME_W26,baseline,4,3,D,0.2819,False,True
SAFECRIME_W26,permutation_1,4,0,A,0.4072,True,False
SAFECRIME_W26,permutation_1,4,1,B,0.1291,False,False
SAFECRIME_W26,permutation_1,4,2,C,0.1793,False,False
SAFECRIME_W26,permutation_1,4,3,D,0.2843,False,True
SAFECRIME_W26,permutation_2,4,0,A,0.4093,True,False
SAFECRIME_W26,permutation_2,4,1,B,0.135,False,False
SAFECRIME_W26,permutation_2,4,2,C,0.1788,False,False
SAFECRIME_W26,permutation_2,4,3,D,0.2769,False,True
SAFECRIME_W26,permutation_3,4,0,A,0.4138,True,False
SAFECRIME_W26,permutation_3,4,1,B,0.108,False,False
SAFECRIME_W26,permutation_3,4,2,C,0.2232,False,False
SAFECRIME_W26,permutation_3,4,3,D,0.255,False,True
WORLDDANGER_W26,baseline,3,0,A,0.6154,True,False
WORLDDANGER_W26,baseline,3,1,B,0.1998,False,False
WORLDDANGER_W26,baseline,3,2,C,0.1848,False,True
WORLDDANGER_W26,permutation_1,3,0,A,0.6375,True,False
WORLDDANGER_W26,permutation_1,3,1,B,0.1812,False,False
WORLDDANGER_W26,permutation_1,3,2,C,0.1812,False,True
WORLDDANGER_W26,permutation_2,3,0,A,0.6375,True,False
WORLDDANGER_W26,permutation_2,3,1,B,0.1812,False,False
WORLDDANGER_W26,permutation_2,3,2,C,0.1812,False,True
WORLDDANGER_W26,permutation_3,3,0,A,0.6248,True,False
WORLDDANGER_W26,permutation_3,3,1,B,0.1876,False,False
WORLDDANGER_W26,permutation_3,3,2,C,0.1876,False,True
WORRYA_W26,baseline,3,0,A,0.6913,True,False
WORRYA_W26,baseline,3,1,B,0.1028,False,False
WORRYA_W26,baseline,3,2,C,0.2059,False,True
WORRYA_W26,permutation_1,3,0,A,0.6913,True,False
WORRYA_W26,permutation_1,3,1,B,0.1044,False,False
WORRYA_W26,permutation_1,3,2,C,0.2043,False,True
WORRYA_W26,permutation_2,3,0,A,0.6913,True,False
WORRYA_W26,permutation_2,3,1,B,0.1044,False,False
WORRYA_W26,permutation_2,3,2,C,0.2043,False,True
WORRYA_W26,permutation_3,3,0,A,0.6881,True,False
WORRYA_W26,permutation_3,3,1,B,0.142,False,False
WORRYA_W26,permutation_3,3,2,C,0.1699,False,True
WORRYB_W26,baseline,3,0,A,0.6086,True,False
WORRYB_W26,baseline,3,1,B,0.1276,False,False
WORRYB_W26,baseline,3,2,C,0.2638,False,True
WORRYB_W26,permutation_1,3,0,A,0.5996,True,False
WORRYB_W26,permutation_1,3,1,B,0.1172,False,False
WORRYB_W26,permutation_1,3,2,C,0.2832,False,True
WORRYB_W26,permutation_2,3,0,A,0.608,True,False
WORRYB_W26,permutation_2,3,1,B,0.1264,False,False
WORRYB_W26,permutation_2,3,2,C,0.2656,False,True
WORRYB_W26,permutation_3,3,0,A,0.5837,True,False
WORRYB_W26,permutation_3,3,1,B,0.1672,False,False
WORRYB_W26,permutation_3,3,2,C,0.2491,False,True
WORRYC_W26,baseline,3,0,A,0.6594,True,False
WORRYC_W26,baseline,3,1,B,0.1249,False,False
WORRYC_W26,baseline,3,2,C,0.2157,False,True
WORRYC_W26,permutation_1,3,0,A,0.6433,True,False
WORRYC_W26,permutation_1,3,1,B,0.1163,False,False
WORRYC_W26,permutation_1,3,2,C,0.2404,False,True
WORRYC_W26,permutation_2,3,0,A,0.6433,True,False
WORRYC_W26,permutation_2,3,1,B,0.1163,False,False
WORRYC_W26,permutation_2,3,2,C,0.2404,False,True
WORRYC_W26,permutation_3,3,0,A,0.654,True,False
WORRYC_W26,permutation_3,3,1,B,0.1182,False,False
WORRYC_W26,permutation_3,3,2,C,0.2278,False,True
WORRYD_W26,baseline,3,0,A,0.6576,True,False
WORRYD_W26,baseline,3,1,B,0.1255,False,False
WORRYD_W26,baseline,3,2,C,0.2169,False,True
WORRYD_W26,permutation_1,3,0,A,0.6526,True,False
WORRYD_W26,permutation_1,3,1,B,0.1676,False,False
WORRYD_W26,permutation_1,3,2,C,0.1798,False,True
WORRYD_W26,permutation_2,3,0,A,0.6368,True,False
WORRYD_W26,permutation_2,3,1,B,0.1196,False,False
WORRYD_W26,permutation_2,3,2,C,0.2436,False,True
WORRYD_W26,permutation_3,3,0,A,0.6512,True,False
WORRYD_W26,permutation_3,3,1,B,0.1272,False,False
WORRYD_W26,permutation_3,3,2,C,0.2216,False,True
WORRYE_W26,baseline,3,0,A,0.6079,True,False
