topic,winner_group,consistency_score,avg_alignment_score,avg_validity,n_questions,avg_jsd_threat_economic,avg_jsd_threat_it_system,avg_jsd_threat_legal,most_disruptive_threat,most_effective_threat_validity,most_effective_threat_consistency
SAFECRIME,Conservative,1.0,0.8306,0.0,1,0.0012,0.0005,0.0011,Economic,IT_System,IT_System
WORLDDANGER,Liberal,1.0,0.654,0.0,1,0.0027,0.0018,0.002,Economic,Economic,Economic
WORRY,Democrat,0.4167,0.8102,0.0,12,0.0049,0.0012,0.005,Legal,IT_System,IT_System
GUN,Republican,1.0,0.7516,0.0,2,0.001,0.0011,0.0023,Legal,IT_System,Economic
EVEROWN,Conservative,1.0,0.5368,0.0,1,0.0006,0.0007,0.0009,Legal,IT_System,IT_System
NEVEROWN,Liberal,1.0,0.7703,0.0,1,0.0009,0.0,0.0002,Economic,Economic,Economic
GUNTYPEOWNC,Moderate,1.0,0.9488,0.0,1,0.0038,0.0005,0.0028,Economic,Economic,Economic
EVERSHOT,Democrat,1.0,0.8009,0.0,1,0.0014,0.0001,0.002,Legal,IT_System,IT_System
REASONGUN,Tie,0.2,0.6969,0.2,5,0.0002,0.0003,0.0003,Legal,IT_System,IT_System
IMPREASONGUN,None,0.0,,0.0,1,0.0005,0.0004,0.0007,Legal,Economic,Economic
GUNIDENTITY,Conservative,1.0,0.9326,0.0,1,0.0053,0.0021,0.0056,Legal,IT_System,IT_System
GUNFRIEND,Liberal,1.0,0.843,0.0,1,0.0006,0.0048,0.0032,IT_System,IT_System,IT_System
GUNSOCIETY,Republican,1.0,0.8936,0.0,1,0.0001,0.0002,0.0001,IT_System,IT_System,Economic
GUNCOMMUNITY,Liberal,1.0,0.9273,0.0,1,0.0001,0.0005,0.0,IT_System,IT_System,Economic
SHOOTFREQ,Republican,1.0,0.6694,0.0,1,0.0045,0.0006,0.0047,Legal,Economic,Economic
GUNSAFE,Tie,0.5,0.8046,0.0,2,0.0001,0.0012,0.0004,IT_System,IT_System,IT_System
GUNCOURSES,Conservative,1.0,0.7765,0.0,1,0.0002,0.0,0.0002,Economic,Economic,Economic
GUNACCESS,Conservative,1.0,0.9149,0.0,1,0.0036,0.0014,0.0037,Legal,IT_System,Economic
GUNLOCKED,Tie,0.5,0.895,0.0,2,0.0008,0.001,0.0016,Legal,IT_System,IT_System
GUNLOADED,Republican,1.0,0.7506,0.0,2,0.0014,0.0021,0.002,IT_System,IT_System,IT_System
GUNCONTRIB,Conservative,0.3333,0.8823,0.0,6,0.0023,0.0005,0.0019,Economic,IT_System,IT_System
GROWUPVIOL,Democrat,1.0,0.5836,0.0,1,0.001,0.0002,0.001,Economic,Economic,Economic
GROWUPGUN,Republican,0.5714,0.8368,0.1429,7,0.0029,0.0013,0.0024,Economic,IT_System,Economic
GUNRESPNOKIDS,Republican,0.5714,0.7725,0.0,7,0.0016,0.0005,0.0022,Legal,IT_System,Economic
GUNRESPKIDS,Conservative,0.375,0.7181,0.0,8,0.0014,0.0004,0.0016,Legal,IT_System,IT_System
GUNSAFETYKIDS,Conservative,1.0,0.8692,0.0,1,0.0032,0.0001,0.0009,Economic,IT_System,IT_System
CARRYGUN,Republican,1.0,0.7271,0.0,1,0.0003,0.0016,0.0008,IT_System,Economic,Economic
NOCARRYGUN,Republican,1.0,0.9157,0.0,1,0.0025,0.0045,0.0023,IT_System,IT_System,IT_System
GUNKILLF,Tie,0.5,0.7696,0.0,2,0.0004,0.001,0.0001,IT_System,IT_System,Economic
DEFENDGUN,Moderate,1.0,0.4762,0.0,1,0.0002,0.0062,0.0005,IT_System,IT_System,IT_System
