topic,winner_group,consistency_score,avg_alignment_score,avg_validity,n_questions
SAFECRIME,Republican,1.0,0.8187,0.0,3
WORLDDANGER,Republican,1.0,0.6308,0.0,3
WORRY,Moderate,0.4167,0.5755,0.5833,36
GUN,Republican,1.0,0.3634,0.0,6
EVEROWN,Conservative,1.0,0.2785,0.0,3
NEVEROWN,Republican,1.0,0.788,0.0,3
GUNTYPEOWNC,Republican,1.0,0.7704,0.0,3
EVERSHOT,Republican,1.0,0.8449,0.0,3
REASONGUN,Republican,0.4,0.551,0.6,15
IMPREASONGUN,Conservative,1.0,0.8923,0.0,3
GUNIDENTITY,Republican,1.0,0.5684,0.0,3
GUNFRIEND,Republican,1.0,0.7742,0.0,3
GUNSOCIETY,Republican,1.0,0.4742,0.0,3
GUNCOMMUNITY,Republican,1.0,0.6861,0.0,3
SHOOTFREQ,Republican,1.0,0.4431,1.0,3
GUNSAFE,Republican,1.0,0.566,0.0,6
GUNCOURSES,Conservative,1.0,0.4582,1.0,3
GUNACCESS,Republican,1.0,0.7578,1.0,3
GUNLOCKED,Moderate,1.0,0.6857,0.5,6
GUNLOADED,Republican,1.0,0.4459,1.0,6
GUNCONTRIB,Democrat,0.6667,0.7194,0.0,18
GROWUPVIOL,Democrat,1.0,0.2395,0.0,3
GROWUPGUN,Republican,0.7143,0.6168,0.8571,21
GUNRESPNOKIDS,Democrat,0.5714,0.8527,0.0,21
GUNRESPKIDS,Democrat,0.5,0.8449,0.0,24
GUNSAFETYKIDS,Republican,1.0,0.847,0.0,3
CARRYGUN,Republican,1.0,0.536,1.0,3
NOCARRYGUN,Democrat,1.0,0.7791,0.0,3
GUNKILLF,Republican,1.0,0.73,1.0,6
DEFENDGUN,Moderate,1.0,0.1429,1.0,3
GUNTHREAT,Moderate,1.0,0.2945,1.0,3
CRIMEVICTIM,Independent,1.0,0.3004,1.0,3
MARGUN,Republican,1.0,0.9,0.0,3
GUNASSOCIATIONA,Republican,1.0,0.245,0.0,3
GUNACTIVITY,Republican,0.6,0.2753,1.0,15
CAREREL,Democrat,1.0,0.8955,0.0,3
INDUSTRY,Liberal,1.0,0.8523,0.0,3
PREDICT,Democrat,0.75,0.7125,0.75,12
CARS,Liberal,0.4706,0.6822,0.5882,51
WORK,Independent,0.2308,0.7053,0.3846,39
ROBJOB,Liberal,0.5217,0.6107,0.2174,69
CAREGIV,Liberal,0.5,0.6385,0.1667,36
HIRING,Liberal,0.2727,0.6287,0.6364,33
VOICE,Liberal,0.5714,0.5525,0.7143,21
DRONE,Conservative,0.4286,0.5331,0.2857,21
PERSDISCR,Democrat,1.0,0.4233,1.0,3
NOWSMK_NHIS,Moderate,1.0,0.4865,0.0,3
BLOODPR,Republican,1.0,0.4257,1.0,3
DIFF,Liberal,1.0,0.3996,0.0,15
MASC,Republican,0.5,0.5445,0.25,12
FEM,Republican,0.5,0.5633,0.25,12
GOODJOBS,Republican,1.0,0.5,0.0,3
HELPHURT,Conservative,0.4286,0.4153,0.0,21
TRANSGEND,Republican,0.6667,0.5618,0.3333,9
SEENMASC,Republican,1.0,0.558,0.0,3
SEENFEM,Republican,1.0,0.6736,0.0,3
MA,Democrat,0.5,0.5736,0.0,18
MESUM,Liberal,0.3333,0.7073,0.0833,36
TRAITS,Democrat,0.5,0.7801,0.0,18
BOYSF,Democrat,0.75,0.456,1.0,12
GIRLSF,Liberal,0.75,0.4124,1.0,12
SPOUSESEX,Democrat,0.5,0.9109,0.5,6
HOOD_NHIS,Republican,1.0,0.7912,1.0,9
LOCALELECT,Republican,1.0,0.8453,0.0,3
PARTICIPATE,Democrat,0.3333,0.3139,0.3333,9
S,Democrat,0.3333,0.7256,0.3333,9
TALK_CPS,Democrat,1.0,0.8469,0.0,3
FAVORS_CPS,Republican,1.0,0.5708,0.0,3
WORRYRET,Democrat,1.0,0.8242,0.0,3
WORRYBILL,Moderate,1.0,0.6071,0.0,3
GOPDIRCT,Republican,1.0,0.63,0.0,3
DEMDIRCT,Conservative,1.0,0.6903,0.0,3
SATLIFE,Republican,0.8889,0.8232,0.6667,27
SOCTRUST,Liberal,0.5,0.719,0.0,12
COMMYRS,Liberal,1.0,0.5154,1.0,3
COMATTACH,Republican,1.0,0.7697,1.0,3
FEEL,Liberal,0.5,0.7509,0.75,12
INC,Republican,1.0,0.6223,0.0,3
INCFUTURE,Liberal,1.0,0.4649,1.0,3
COMMIMP,Democrat,0.5,0.7539,0.0,24
FAMNEAR,Moderate,1.0,0.8778,0.0,3
SUCCESSIMP,Democrat,0.5,0.8832,0.75,12
FEDSHARE,Democrat,0.6667,0.5934,0.0,9
LOCALPROB,Democrat,0.8182,0.5716,0.0,33
LOCALPROBL_F,Democrat,1.0,0.7358,0.0,3
LOCALPROBM_F,Democrat,1.0,0.6002,0.0,3
JOBSFUTURE,Conservative,1.0,0.639,1.0,3
HARASS,Conservative,0.3158,0.6779,0.0,57
GROWUPNEAR,Conservative,1.0,0.5714,1.0,3
LIFELOC,Republican,1.0,0.5731,0.0,3
VALUEURBAN,Liberal,1.0,0.6831,0.0,3
VALUESUBURB,Conservative,1.0,0.7691,0.0,3
VALUERURAL,Republican,1.0,0.7944,0.0,3
NEIGHKNOW,Republican,1.0,0.6415,0.0,3
NEIGHINTER,Conservative,0.75,0.4579,1.0,12
NEIGHKEYS,Republican,1.0,0.8335,0.0,3
NEIGHKIDS,Republican,1.0,0.5724,0.0,3
NEIGHSAME,Republican,0.6667,0.7689,0.0,9
IMMCOMM,Liberal,1.0,0.7436,0.0,3
IMMIMPACT,Liberal,1.0,0.6602,0.0,3
GROWUPUSR,Democrat,1.0,0.6128,1.0,3
COMTYPE,Democrat,1.0,0.6136,1.0,3
CITYSIZE,Democrat,1.0,0.7672,0.0,3
SUBURBNEAR,Conservative,1.0,0.8149,0.0,3
PROBURBAN,Democrat,1.0,0.7172,0.0,3
PROBSUBURB,Democrat,1.0,0.7431,0.0,3
PROBRURAL,Conservative,1.0,0.706,0.0,3
WANTMOVE,Democrat,1.0,0.5949,0.0,3
WILLMOVE,Liberal,1.0,0.7018,0.0,3
MOVEURBAN,Democrat,1.0,0.6367,0.0,3
MOVESUBURB,Democrat,1.0,0.6437,0.0,3
MOVERURAL,Republican,1.0,0.641,0.0,3
ETHNCMAJ,Democrat,1.0,0.4762,0.0,3
IMMCULT,Republican,1.0,0.5347,0.0,3
MARRFAM,Republican,1.0,0.4642,0.0,6
ECONFAIR,Liberal,1.0,0.7902,0.0,9
WOMENOPPS,Republican,1.0,0.5017,0.0,3
GOVT_ROLE,Democrat,1.0,0.5398,0.0,3
WHADVANT,Democrat,0.5,0.6456,0.0,6
GAYMARR,Liberal,1.0,0.7266,0.0,3
ABORTION,Liberal,1.0,0.681,0.0,3
ABORTIONRESTR,Republican,1.0,0.6538,0.0,3
ABORTIONALLOW,Moderate,1.0,0.7562,0.0,3
CLASS,Republican,1.0,0.6848,1.0,3
MISINF,Democrat,1.0,0.5343,0.0,6
SC,Liberal,0.375,0.7408,0.0417,72
EAT,Democrat,0.5714,0.7776,0.2143,42
FUD,Liberal,0.4,0.6814,0.0,30
MED,Liberal,0.4211,0.7163,0.1579,57
BIOTECH,Liberal,0.8,0.5069,0.0,15
EVOONE,Liberal,1.0,0.7597,0.0,3
EVOTWO,Democrat,1.0,0.6058,0.0,3
EVOTHREE,Liberal,1.0,0.6208,0.0,3
EVOPERS,Liberal,0.5,0.5434,0.0,6
EVOBIO,Independent,0.5,0.7983,0.0,6
BIO,Republican,1.0,0.7789,0.0,3
G,Liberal,0.5,0.6098,0.0,6
HAPPYLIFE,Republican,1.0,0.6781,0.0,3
ESSENPOLF,Democrat,0.3333,0.8908,0.7778,27
ESSENBIZF,Democrat,0.25,0.8949,0.8333,36
STYLE,Democrat,0.5,0.476,0.0,6
AMNTWMNPF,Liberal,1.0,0.4997,0.0,3
AMNTWMN,Conservative,0.5,0.5824,1.0,6
AMNTWMNBF,Liberal,1.0,0.4704,0.0,3
EASIERBIZF,Independent,1.0,0.9498,0.0,3
EASIERPOLF,Moderate,1.0,0.9477,0.0,3
EQUALPOLF,Independent,1.0,0.5863,0.0,3
EQUALBIZF,Independent,1.0,0.5799,0.0,3
IMPROVE,Liberal,0.6667,0.7294,0.0,9
WHYNOTPOLF,Liberal,0.4167,0.6489,0.0,36
WHYNOTBIZF,Liberal,0.3571,0.6261,0.0714,42
HIGHED,Democrat,1.0,0.5553,0.0,3
HIGHEDWRNG,Republican,0.6,0.801,0.0,15
BETTERPOL,Republican,0.4667,0.3597,0.6667,45
BETTERBIZ,Republican,0.5,0.364,0.6667,54
TRAITPOLWF,Democrat,0.2857,0.794,0.1429,21
TRAITPOLMF,Liberal,0.4286,0.8092,0.1429,21
POLCHF,Democrat,1.0,0.8966,0.0,3
TRAITBIZWF,Conservative,0.4286,0.7849,0.1429,21
TRAITBIZMF,Independent,0.5714,0.7843,0.0,21
EXECCHF,Republican,1.0,0.5688,0.0,3
WMNPRZ,Democrat,1.0,0.8817,0.0,3
MOREWMN,Liberal,0.75,0.6083,0.5,12
COLSPEECH,Independent,1.0,0.9717,1.0,3
E,Liberal,0.5,0.697,0.0,6
EARN,Independent,1.0,0.7,0.0,3
FERTIL,Liberal,1.0,0.5591,0.0,3
OPTIMIST,Moderate,1.0,0.6437,0.0,3
AVGFAM,Republican,1.0,0.5299,0.0,3
HAPPEN,Democrat,0.2778,0.6615,0.2778,54
NATDEBT,Republican,1.0,0.8473,0.0,3
ENVC,Democrat,1.0,0.6625,0.0,3
POPPROB,Liberal,1.0,0.8065,0.0,3
FTRWORRY,Democrat,0.3333,0.8605,0.0,18
ELDCARE,Conservative,1.0,0.31,0.0,3
ELDFINANCEF,Democrat,1.0,0.5495,0.0,6
GOVPRIO,Liberal,0.3333,0.7695,0.0,45
WRKTRN,Liberal,1.0,0.4097,0.0,6
JOBSECURITY,Democrat,1.0,0.5029,0.0,3
JOBBENEFITS,Democrat,1.0,0.5816,0.0,3
AUTOWKPLC,Democrat,1.0,0.6269,1.0,3
ROBWRK,Democrat,0.5,0.6328,0.0,6
AUTOLKLY,Democrat,1.0,0.5492,0.0,3
ROBIMPACT,Liberal,0.5,0.6215,0.0,6
LEGALIMG,Liberal,1.0,0.706,0.0,3
FUTRCLASS,Liberal,0.6667,0.7823,0.0,9
ETHNCMAJMOD,Liberal,1.0,0.5778,0.0,3
AGEMAJ,Republican,1.0,0.6069,0.0,3
INTRMAR,Liberal,1.0,0.6494,0.0,3
SSMONEY,Democrat,1.0,0.4702,0.0,3
SSCUT,Independent,1.0,0.2949,0.0,3
FUTR_ABR,Democrat,1.0,0.7984,0.0,3
FUTR_DIV,Republican,1.0,0.5124,0.0,3
FUTR_,Democrat,0.5,0.4496,0.0,6
SOLVPROB,Democrat,0.4444,0.6637,0.0,27
PAST,Moderate,1.0,0.937,0.0,3
FUTURE,Independent,1.0,0.9461,0.0,3
CONF,Democrat,0.5,0.6672,0.0,24
POLICY,Liberal,0.5,0.7508,0.25,12
RQ,Liberal,0.5778,0.6718,0.0222,135
P,Liberal,0.3158,0.6824,0.1053,171
Q,Liberal,0.875,0.6059,0.0,24
PO,Liberal,0.5,0.5695,0.0,12
RACESURV,Liberal,0.3564,0.6318,0.1386,303
ADMISSION,Democrat,0.5,0.5321,0.375,24
RACATTN,Republican,1.0,0.7038,0.0,3
IDIMPORT,Democrat,1.0,0.6123,0.0,15
NEWS_PLATFORM,Democrat,0.5,0.7415,0.0,6
NEWSPREFV,Moderate,1.0,0.4672,0.0,3
SOURCESKEP,Democrat,0.8,0.5905,0.0,15
INFOCONFUSE,Republican,1.0,0.8438,0.0,15
INFOKNOW,Democrat,0.8,0.538,0.0,15
INFOOWN,Liberal,0.8,0.7489,0.0,15
MEDIALOYAL,Democrat,1.0,0.5453,1.0,3
LEAD,Moderate,1.0,0.771,1.0,3
SEEK,Liberal,1.0,0.7212,0.0,3
INFORESTRICT,Liberal,0.6,0.5027,0.0,15
INFOWHY,Moderate,0.5,0.7665,0.5,12
INFOCREATE,Republican,0.6,0.8153,0.0,15
MADEUPOFT,Republican,1.0,0.8253,1.0,3
MADEUPSHARE,Conservative,0.5,0.3358,1.0,6
MADEUPSHAREWHY,Democrat,1.0,0.5243,0.0,3
MADEUPTOPIC,Moderate,0.3333,0.7799,0.0,18
MADEUPLEVEL,Republican,1.0,0.7838,0.0,6
MADEUPRES,Independent,0.6,0.6357,0.0,15
MADEUPIMP,Conservative,0.2,0.9079,0.0,15
MADEUPDIS,Republican,1.0,0.701,1.0,3
DISAVOID,Liberal,1.0,0.5942,1.0,3
SMSHARER,Democrat,1.0,0.1881,0.0,3
SMLIKES,Democrat,0.5,0.7493,0.5,18
SMSHARE,Democrat,1.0,0.4664,0.0,3
MADEUPSMCLICK,Conservative,1.0,0.5891,0.0,3
MADEUPSMFOL,Conservative,0.5,0.5657,0.5,6
ONLINESOURCE,Liberal,1.0,0.9192,0.0,3
DIGWDOG,Liberal,1.0,0.6403,0.0,3
NEWSPROB,Liberal,0.4,0.7292,0.0,15
VIDOFT,Republican,1.0,0.7295,1.0,3
MADEUPSOLVE,Democrat,1.0,0.5175,0.0,3
INFOCHAL,Liberal,0.8,0.8536,0.0,15
RESTRICTWHO,Democrat,1.0,0.5338,0.0,3
ACCCHECK,Liberal,1.0,0.7826,1.0,3
FCFAIR,Democrat,1.0,0.7219,0.0,3
WATCHDOG,Democrat,0.5,0.3636,0.5,6
SNSUSE,Liberal,1.0,0.8009,0.0,3
SOCMEDIAUSE,Liberal,0.75,0.4549,0.5,12
ELECTFTGSNSINT,Democrat,1.0,0.4906,0.0,3
TALKDISASNSINT,Moderate,1.0,0.3626,0.0,3
TALKCMNSNSINT,Moderate,1.0,0.3258,1.0,3
SECUR,Independent,1.0,0.5291,0.0,3
PRIVACYNEWS,Democrat,1.0,0.6307,0.0,3
HOMEASSIST,Liberal,0.8333,0.4951,0.0,18
HOMEIOT,Moderate,1.0,0.2535,0.0,3
FITTRACK,Liberal,1.0,0.34,0.0,3
LOYALTY,Liberal,1.0,0.8057,0.0,3
DNATEST,Liberal,1.0,0.2405,1.0,6
TRACKCO,Liberal,1.0,0.7681,0.0,6
CONCERNCO,Independent,1.0,0.8132,0.0,3
BENEFITCO,Democrat,1.0,0.5119,0.0,3
CONTROLCO,Liberal,1.0,0.4005,0.0,3
UNDERSTANDCO,Liberal,1.0,0.5091,0.0,3
POSNEGCO,Democrat,1.0,0.2442,0.0,3
ANONYMOUS,Independent,0.5,0.4353,1.0,6
TRACKGOV,Independent,1.0,0.6372,0.5,6
CONCERNGOV,Independent,1.0,0.6992,0.0,3
BENEFITGOV,Democrat,1.0,0.5043,0.0,3
CONTROLGOV,Democrat,1.0,0.3497,0.0,3
UNDERSTANDGOV,Independent,1.0,0.3799,0.0,3
POSNEGGOV,Liberal,1.0,0.3735,0.0,3
CONCERNGRP,Democrat,0.6667,0.5863,0.1667,18
CONTROLGRP,Democrat,0.5,0.5225,0.6667,18
PRIVACYREG,Moderate,1.0,0.4764,0.0,3
GOVREGV,Moderate,0.5,0.7633,0.5,6
SHARE,Independent,1.0,0.5758,1.0,3
PWMAN,Liberal,1.0,0.5014,0.0,6
SMARTPHONE,Liberal,1.0,0.9517,0.0,3
SMARTAPP,Democrat,1.0,0.8648,0.0,3
PUBLICDATA,Democrat,1.0,0.2847,0.0,3
RTBF,Liberal,0.5,0.6787,0.0,12
RTD,Republican,0.5,0.7473,0.0,12
