topic,winner_group,consistency_score,avg_alignment_score,avg_validity,n_questions
SAFECRIME,Republican,1.0,0.8187,0.0,1
WORLDDANGER,Republican,1.0,0.6308,0.0,1
WORRY,Moderate,0.4167,0.5755,0.5833,12
GUN,Republican,1.0,0.3634,0.0,2
EVEROWN,Conservative,1.0,0.2785,0.0,1
NEVEROWN,Republican,1.0,0.788,0.0,1
GUNTYPEOWNC,Republican,1.0,0.7704,0.0,1
EVERSHOT,Republican,1.0,0.8449,0.0,1
REASONGUN,Republican,0.4,0.551,0.6,5
IMPREASONGUN,Conservative,1.0,0.8923,0.0,1
GUNIDENTITY,Republican,1.0,0.5684,0.0,1
GUNFRIEND,Republican,1.0,0.7742,0.0,1
GUNSOCIETY,Republican,1.0,0.4742,0.0,1
GUNCOMMUNITY,Republican,1.0,0.6861,0.0,1
SHOOTFREQ,Republican,1.0,0.4431,1.0,1
GUNSAFE,Republican,1.0,0.5659,0.0,2
GUNCOURSES,Conservative,1.0,0.4582,1.0,1
GUNACCESS,Republican,1.0,0.7578,1.0,1
GUNLOCKED,Moderate,1.0,0.6857,0.5,2
GUNLOADED,Republican,1.0,0.4459,1.0,2
GUNCONTRIB,Democrat,0.6667,0.7194,0.0,6
GROWUPVIOL,Democrat,1.0,0.2395,0.0,1
GROWUPGUN,Republican,0.7143,0.6168,0.8571,7
GUNRESPNOKIDS,Democrat,0.5714,0.8527,0.0,7
GUNRESPKIDS,Democrat,0.5,0.8449,0.0,8
GUNSAFETYKIDS,Republican,1.0,0.847,0.0,1
CARRYGUN,Republican,1.0,0.536,1.0,1
NOCARRYGUN,Democrat,1.0,0.7791,0.0,1
GUNKILLF,Republican,1.0,0.73,1.0,2
DEFENDGUN,Moderate,1.0,0.1429,1.0,1
GUNTHREAT,Moderate,1.0,0.2945,1.0,1
CRIMEVICTIM,Independent,1.0,0.3004,1.0,1
MARGUN,Republican,1.0,0.9,0.0,1
GUNASSOCIATIONA,Republican,1.0,0.245,0.0,1
GUNACTIVITY,Republican,0.6,0.2753,1.0,5
CAREREL,Democrat,1.0,0.8955,0.0,1
INDUSTRY,Liberal,1.0,0.8523,0.0,1
PREDICT,Democrat,0.75,0.7125,0.75,4
CARS,Liberal,0.4706,0.6822,0.5882,17
WORK,Independent,0.2308,0.7053,0.3846,13
ROBJOB,Liberal,0.5217,0.6107,0.2174,23
CAREGIV,Liberal,0.5,0.6385,0.1667,12
HIRING,Liberal,0.2727,0.6287,0.6364,11
VOICE,Liberal,0.5714,0.5525,0.7143,7
DRONE,Conservative,0.4286,0.5331,0.2857,7
PERSDISCR,Democrat,1.0,0.4233,1.0,1
NOWSMK_NHIS,Moderate,1.0,0.4865,0.0,1
BLOODPR,Republican,1.0,0.4257,1.0,1
DIFF,Liberal,1.0,0.3996,0.0,5
MASC,Republican,0.5,0.5445,0.25,4
FEM,Republican,0.5,0.5633,0.25,4
GOODJOBS,Republican,1.0,0.5,0.0,1
HELPHURT,Conservative,0.4286,0.4153,0.0,7
TRANSGEND,Republican,0.6667,0.5618,0.3333,3
SEENMASC,Republican,1.0,0.558,0.0,1
SEENFEM,Republican,1.0,0.6736,0.0,1
MA,Democrat,0.5,0.5736,0.0,6
MESUM,Liberal,0.3333,0.7073,0.0833,12
TRAITS,Democrat,0.5,0.7801,0.0,6
BOYSF,Democrat,0.75,0.456,1.0,4
GIRLSF,Liberal,0.75,0.4124,1.0,4
SPOUSESEX,Democrat,0.5,0.9109,0.5,2
HOOD_NHIS,Republican,1.0,0.7912,1.0,3
LOCALELECT,Republican,1.0,0.8453,0.0,1
PARTICIPATE,Democrat,0.3333,0.3139,0.3333,3
S,Democrat,0.3333,0.7256,0.3333,3
TALK_CPS,Democrat,1.0,0.8469,0.0,1
FAVORS_CPS,Republican,1.0,0.5708,0.0,1
WORRYRET,Democrat,1.0,0.8242,0.0,1
WORRYBILL,Moderate,1.0,0.6071,0.0,1
GOPDIRCT,Republican,1.0,0.63,0.0,1
DEMDIRCT,Conservative,1.0,0.6903,0.0,1
SATLIFE,Republican,0.8889,0.8232,0.6667,9
SOCTRUST,Liberal,0.5,0.719,0.0,4
COMMYRS,Liberal,1.0,0.5154,1.0,1
COMATTACH,Republican,1.0,0.7697,1.0,1
FEEL,Liberal,0.5,0.7509,0.75,4
INC,Republican,1.0,0.6223,0.0,1
INCFUTURE,Liberal,1.0,0.4649,1.0,1
COMMIMP,Democrat,0.5,0.7539,0.0,8
FAMNEAR,Moderate,1.0,0.8778,0.0,1
SUCCESSIMP,Democrat,0.5,0.8832,0.75,4
FEDSHARE,Democrat,0.6667,0.5934,0.0,3
LOCALPROB,Democrat,0.8182,0.5716,0.0,11
LOCALPROBL_F,Democrat,1.0,0.7358,0.0,1
LOCALPROBM_F,Democrat,1.0,0.6002,0.0,1
JOBSFUTURE,Conservative,1.0,0.639,1.0,1
HARASS,Conservative,0.3158,0.6779,0.0,19
GROWUPNEAR,Conservative,1.0,0.5714,1.0,1
LIFELOC,Republican,1.0,0.5731,0.0,1
VALUEURBAN,Liberal,1.0,0.6831,0.0,1
VALUESUBURB,Conservative,1.0,0.7691,0.0,1
VALUERURAL,Republican,1.0,0.7944,0.0,1
NEIGHKNOW,Republican,1.0,0.6415,0.0,1
NEIGHINTER,Conservative,0.75,0.4579,1.0,4
NEIGHKEYS,Republican,1.0,0.8335,0.0,1
NEIGHKIDS,Republican,1.0,0.5724,0.0,1
NEIGHSAME,Republican,0.6667,0.7689,0.0,3
IMMCOMM,Liberal,1.0,0.7436,0.0,1
IMMIMPACT,Liberal,1.0,0.6602,0.0,1
GROWUPUSR,Democrat,1.0,0.6128,1.0,1
COMTYPE,Democrat,1.0,0.6136,1.0,1
CITYSIZE,Democrat,1.0,0.7672,0.0,1
SUBURBNEAR,Conservative,1.0,0.8149,0.0,1
PROBURBAN,Democrat,1.0,0.7172,0.0,1
PROBSUBURB,Democrat,1.0,0.7431,0.0,1
PROBRURAL,Conservative,1.0,0.706,0.0,1
WANTMOVE,Democrat,1.0,0.5949,0.0,1
WILLMOVE,Liberal,1.0,0.7018,0.0,1
MOVEURBAN,Democrat,1.0,0.6367,0.0,1
MOVESUBURB,Democrat,1.0,0.6437,0.0,1
MOVERURAL,Republican,1.0,0.641,0.0,1
ETHNCMAJ,Democrat,1.0,0.4762,0.0,1
IMMCULT,Republican,1.0,0.5347,0.0,1
MARRFAM,Republican,1.0,0.4642,0.0,2
ECONFAIR,Liberal,1.0,0.7902,0.0,3
WOMENOPPS,Republican,1.0,0.5017,0.0,1
GOVT_ROLE,Democrat,1.0,0.5398,0.0,1
WHADVANT,Democrat,0.5,0.6456,0.0,2
GAYMARR,Liberal,1.0,0.7266,0.0,1
ABORTION,Liberal,1.0,0.681,0.0,1
ABORTIONRESTR,Republican,1.0,0.6538,0.0,1
ABORTIONALLOW,Moderate,1.0,0.7562,0.0,1
CLASS,Republican,1.0,0.6848,1.0,1
MISINF,Democrat,1.0,0.5343,0.0,2
SC,Liberal,0.375,0.7408,0.0417,24
EAT,Democrat,0.5714,0.7776,0.2143,14
FUD,Liberal,0.4,0.6814,0.0,10
MED,Liberal,0.4211,0.7163,0.1579,19
BIOTECH,Liberal,0.8,0.5069,0.0,5
EVOONE,Liberal,1.0,0.7597,0.0,1
EVOTWO,Democrat,1.0,0.6058,0.0,1
EVOTHREE,Liberal,1.0,0.6208,0.0,1
EVOPERS,Liberal,0.5,0.5434,0.0,2
EVOBIO,Independent,0.5,0.7983,0.0,2
BIO,Republican,1.0,0.7789,0.0,1
G,Liberal,0.5,0.6098,0.0,2
HAPPYLIFE,Republican,1.0,0.678,0.0,1
ESSENPOLF,Democrat,0.3333,0.8908,0.7778,9
ESSENBIZF,Democrat,0.25,0.8949,0.8333,12
STYLE,Democrat,0.5,0.476,0.0,2
AMNTWMNPF,Liberal,1.0,0.4997,0.0,1
AMNTWMN,Conservative,0.5,0.5824,1.0,2
AMNTWMNBF,Liberal,1.0,0.4704,0.0,1
EASIERBIZF,Independent,1.0,0.9498,0.0,1
EASIERPOLF,Moderate,1.0,0.9477,0.0,1
EQUALPOLF,Independent,1.0,0.5863,0.0,1
EQUALBIZF,Independent,1.0,0.5799,0.0,1
IMPROVE,Liberal,0.6667,0.7294,0.0,3
WHYNOTPOLF,Liberal,0.4167,0.6489,0.0,12
WHYNOTBIZF,Liberal,0.3571,0.6261,0.0714,14
HIGHED,Democrat,1.0,0.5553,0.0,1
HIGHEDWRNG,Republican,0.6,0.801,0.0,5
BETTERPOL,Republican,0.4667,0.3597,0.6667,15
BETTERBIZ,Republican,0.5,0.364,0.6667,18
TRAITPOLWF,Democrat,0.2857,0.794,0.1429,7
TRAITPOLMF,Liberal,0.4286,0.8092,0.1429,7
POLCHF,Democrat,1.0,0.8966,0.0,1
TRAITBIZWF,Conservative,0.4286,0.7849,0.1429,7
TRAITBIZMF,Independent,0.5714,0.7843,0.0,7
EXECCHF,Republican,1.0,0.5688,0.0,1
WMNPRZ,Democrat,1.0,0.8817,0.0,1
MOREWMN,Liberal,0.75,0.6083,0.5,4
COLSPEECH,Independent,1.0,0.9717,1.0,1
E,Liberal,0.5,0.697,0.0,2
EARN,Independent,1.0,0.7,0.0,1
FERTIL,Liberal,1.0,0.5591,0.0,1
OPTIMIST,Moderate,1.0,0.6437,0.0,1
AVGFAM,Republican,1.0,0.5299,0.0,1
HAPPEN,Democrat,0.2778,0.6615,0.2778,18
NATDEBT,Republican,1.0,0.8473,0.0,1
ENVC,Democrat,1.0,0.6625,0.0,1
POPPROB,Liberal,1.0,0.8065,0.0,1
FTRWORRY,Democrat,0.3333,0.8605,0.0,6
ELDCARE,Conservative,1.0,0.31,0.0,1
ELDFINANCEF,Democrat,1.0,0.5494,0.0,2
GOVPRIO,Liberal,0.3333,0.7695,0.0,15
WRKTRN,Liberal,1.0,0.4097,0.0,2
JOBSECURITY,Democrat,1.0,0.5029,0.0,1
JOBBENEFITS,Democrat,1.0,0.5816,0.0,1
AUTOWKPLC,Democrat,1.0,0.6269,1.0,1
ROBWRK,Democrat,0.5,0.6328,0.0,2
AUTOLKLY,Democrat,1.0,0.5492,0.0,1
ROBIMPACT,Liberal,0.5,0.6215,0.0,2
LEGALIMG,Liberal,1.0,0.706,0.0,1
FUTRCLASS,Liberal,0.6667,0.7823,0.0,3
ETHNCMAJMOD,Liberal,1.0,0.5778,0.0,1
AGEMAJ,Republican,1.0,0.6069,0.0,1
INTRMAR,Liberal,1.0,0.6494,0.0,1
SSMONEY,Democrat,1.0,0.4702,0.0,1
SSCUT,Independent,1.0,0.2949,0.0,1
FUTR_ABR,Democrat,1.0,0.7984,0.0,1
FUTR_DIV,Republican,1.0,0.5124,0.0,1
FUTR_,Democrat,0.5,0.4496,0.0,2
SOLVPROB,Democrat,0.4444,0.6637,0.0,9
PAST,Moderate,1.0,0.937,0.0,1
FUTURE,Independent,1.0,0.9461,0.0,1
CONF,Democrat,0.5,0.6672,0.0,8
POLICY,Liberal,0.5,0.7508,0.25,4
RQ,Liberal,0.5778,0.6718,0.0222,45
P,Liberal,0.3158,0.6824,0.1053,57
Q,Liberal,0.875,0.6059,0.0,8
PO,Liberal,0.5,0.5695,0.0,4
RACESURV,Liberal,0.3564,0.6318,0.1386,101
ADMISSION,Democrat,0.5,0.5321,0.375,8
RACATTN,Republican,1.0,0.7038,0.0,1
IDIMPORT,Democrat,1.0,0.6123,0.0,5
NEWS_PLATFORM,Democrat,0.5,0.7415,0.0,2
NEWSPREFV,Moderate,1.0,0.4672,0.0,1
SOURCESKEP,Democrat,0.8,0.5905,0.0,5
INFOCONFUSE,Republican,1.0,0.8438,0.0,5
INFOKNOW,Democrat,0.8,0.538,0.0,5
INFOOWN,Liberal,0.8,0.7489,0.0,5
MEDIALOYAL,Democrat,1.0,0.5453,1.0,1
LEAD,Moderate,1.0,0.771,1.0,1
SEEK,Liberal,1.0,0.7212,0.0,1
INFORESTRICT,Liberal,0.6,0.5027,0.0,5
INFOWHY,Moderate,0.5,0.7665,0.5,4
INFOCREATE,Republican,0.6,0.8153,0.0,5
MADEUPOFT,Republican,1.0,0.8253,1.0,1
MADEUPSHARE,Conservative,0.5,0.3358,1.0,2
MADEUPSHAREWHY,Democrat,1.0,0.5243,0.0,1
MADEUPTOPIC,Moderate,0.3333,0.7799,0.0,6
MADEUPLEVEL,Republican,1.0,0.7838,0.0,2
MADEUPRES,Independent,0.6,0.6357,0.0,5
MADEUPIMP,Conservative,0.2,0.9079,0.0,5
MADEUPDIS,Republican,1.0,0.701,1.0,1
DISAVOID,Liberal,1.0,0.5942,1.0,1
SMSHARER,Democrat,1.0,0.1881,0.0,1
SMLIKES,Democrat,0.5,0.7493,0.5,6
SMSHARE,Democrat,1.0,0.4664,0.0,1
MADEUPSMCLICK,Conservative,1.0,0.5891,0.0,1
MADEUPSMFOL,Conservative,0.5,0.5657,0.5,2
ONLINESOURCE,Liberal,1.0,0.9192,0.0,1
DIGWDOG,Liberal,1.0,0.6403,0.0,1
NEWSPROB,Liberal,0.4,0.7292,0.0,5
VIDOFT,Republican,1.0,0.7295,1.0,1
MADEUPSOLVE,Democrat,1.0,0.5175,0.0,1
INFOCHAL,Liberal,0.8,0.8536,0.0,5
RESTRICTWHO,Democrat,1.0,0.5338,0.0,1
ACCCHECK,Liberal,1.0,0.7826,1.0,1
FCFAIR,Democrat,1.0,0.7219,0.0,1
WATCHDOG,Democrat,0.5,0.3636,0.5,2
SNSUSE,Liberal,1.0,0.8009,0.0,1
SOCMEDIAUSE,Liberal,0.75,0.4549,0.5,4
ELECTFTGSNSINT,Democrat,1.0,0.4905,0.0,1
TALKDISASNSINT,Moderate,1.0,0.3626,0.0,1
TALKCMNSNSINT,Moderate,1.0,0.3258,1.0,1
SECUR,Independent,1.0,0.5291,0.0,1
PRIVACYNEWS,Democrat,1.0,0.6307,0.0,1
HOMEASSIST,Liberal,0.8333,0.4951,0.0,6
HOMEIOT,Moderate,1.0,0.2535,0.0,1
FITTRACK,Liberal,1.0,0.34,0.0,1
LOYALTY,Liberal,1.0,0.8057,0.0,1
